,Time.Point,Sample.Name,Plant.Biomass..g.,Gravimetric.water.content,Virome Dry  Weight (g),Metat Dry  Weight (g),Approx..Extra.soil..as.of.10.25.21.,Approx..Extra.soil..as.of.4.29.22.,Virome.DNA.concentration.ng.ul,Total.Virome.Volume..ul.,TE.to.add.to.get.25.ul.for.JGI.submission..bulk.virome.,Concentration.after.bring.to.25.ul,Virome.Total.DNA...ng.,eDNA.DNA.concentration..ng.ul.,Total.eDNA.volume..ul.,Total.eDNA..ng.,X.1,SampleID,Phosphorus,Timepoint,Water_Type
1,T-0,Dry_soil_A,NA,NA,9.233610342,0.461680517,NA,NA,6.92,14,11,3.8752,96.88,87.2,99,8632.8,6474.6,T0.R.Dry.soil.A,Dry,T0,Dry
2,T-0,Dry_soil_B,NA,NA,9.233610342,0.461680517,NA,NA,12.1,14,11,6.776,169.4,93.8,99,9286.2,6964.65,T0.R.Dry.soil.B,Dry,T0,Dry
3,T-0,Dry_soil_C,NA,NA,9.233610342,0.461680517,NA,NA,8.86,14,11,4.9616,124.04,69.4,99,6870.6,5152.95,T0.R.Dry.soil.C,Dry,T0,Dry
4,T-1,H2O_A,0,NA,7.692307692,0.384615385,20,20,0.95,14,NA,NA,13.3,43.4,99,4296.6,3222.45,T1.R.H2O.A,No Phosphorus,T1,H2O
5,T-1,H2O_B,0.94,NA,7.692307692,0.384615385,9.8,9.8,1.22,14,NA,NA,17.1,27.4,98,2685.2,2013.9,T1.R.H2O.B,No Phosphorus,T1,H2O
6,T-1,H2O_C,0.37,NA,7.692307692,0.384615385,8.9,8.9,0.932,14,NA,NA,13,46.4,98,4547.2,3410.4,T1.R.H2O.C,No Phosphorus,T1,H2O
7,T-1,H2O+P_A,0.12,NA,7.692307692,0.384615385,19,9,0.782,14,NA,NA,10.9,26.6,99,2633.4,1975.05,T1.R.H2O.P.A,Phosphorus,T1,H2O
8,T-1,H2O+P_B,0.19,NA,7.692307692,0.384615385,15,5,1.304,14,NA,NA,18.3,29.4,99,2910.6,2182.95,T1.R.H2O.P.B,Phosphorus,T1,H2O
9,T-1,H2O+P_C,0.21,NA,7.692307692,0.384615385,16.5,6.5,0.95,14,NA,NA,13.3,30,99,2970,2227.5,T1.R.H2O.P.C,Phosphorus,T1,H2O
10,T-1,H218O_A,1.9,NA,7.692307692,0.384615385,19.5,19.5,1.7,14,NA,NA,23.8,55.8,99,5524.2,4143.15,T1.R.H218O.A,No Phosphorus,T1,H218O
11,T-1,H218O_B,1.41,NA,7.692307692,0.384615385,15.1,15.1,1.55,14,NA,NA,21.7,35.6,99,3524.4,2643.3,T1.R.H218O.B,No Phosphorus,T1,H218O
12,T-1,H218O_C,1.82,NA,7.692307692,0.384615385,16.2,16.2,1.27,14,NA,NA,17.8,19.52,99,1932.48,1449.36,T1.R.H218O.C,No Phosphorus,T1,H218O
13,T-1,H218O+P_A,0.98,NA,7.692307692,0.384615385,15.2,15.2,2.22,14,NA,NA,31.1,28.2,99,2791.8,2093.85,T1.R.H218O.P.A,Phosphorus,T1,H218O
14,T-1,H218O+P_B,1.31,NA,7.692307692,0.384615385,17.8,17.8,2.91,14,NA,NA,40.7,31,99,3069,2301.75,T1.R.H218O.P.B,Phosphorus,T1,H218O
15,T-1,H218O+P_C,0.95,NA,7.692307692,0.384615385,19.3,19.3,2.5,14,NA,NA,35,47.4,99,4692.6,3519.45,T1.R.H218O.P.C,Phosphorus,T1,H218O
16,T-2,H2O_A,0.13,0.15,8.695652174,0.434782609,1.5,1.5,3.36,33,NA,NA,110.9,62.8,99,6217.2,4662.9,T2.R.H2O.A,No Phosphorus,T2,H2O
17,T-2,H2O_B,0.17,0.15,8.695652174,0.434782609,3.4,3.4,2.98,33,NA,NA,98.3,71.8,99,7108.2,5331.15,T2.R.H2O.B,No Phosphorus,T2,H2O
18,T-2,H2O_C,0.09,0.15,8.695652174,0.434782609,20.2,20.2,11.32,14,NA,NA,158.5,67.4,99,6672.6,5004.45,T2.R.H2O.C,No Phosphorus,T2,H2O
19,T-2,H2O+P_A,0.62,0.2,8.333333333,0.416666667,18.4,8.4,10.6,14,NA,NA,148.4,48,99,4752,3564,T2.R.H2O.P.A,Phosphorus,T2,H2O
20,T-2,H2O+P_B,0.86,0.2,8.333333333,0.416666667,20.9,10.9,3.06,49,NA,NA,149.9,50,99,4950,3712.5,T2.R.H2O.P.B,Phosphorus,T2,H2O
21,T-2,H2O+P_C,0.28,0.41,7.092198582,0.354609929,18.4,8.4,6.64,49,NA,NA,325.4,47.2,99,4672.8,3504.6,T2.R.H2O.P.C,Phosphorus,T2,H2O
22,T-2,H218O_A,0.52,0.17,8.547008547,0.427350427,22.6,22.6,2.7,49,NA,NA,132.3,66,99,6534,4900.5,T2.R.H218O.A,No Phosphorus,T2,H218O
23,T-2,H218O_B,0.33,0.17,8.547008547,0.427350427,22,22,3.34,49,NA,NA,163.7,68,99,6732,5049,T2.R.H218O.B,No Phosphorus,T2,H218O
24,T-2,H218O_C,0.14,0.16,8.620689655,0.431034483,23.2,23.2,4.32,44,NA,NA,190.1,67.4,99,6672.6,5004.45,T2.R.H218O.C,No Phosphorus,T2,H218O
25,T-2,H218O+P_A,0.91,0.17,8.547008547,0.427350427,10.3,10.3,7.62,34,NA,NA,259.1,36,99,3564,2673,T2.R.H218O.P.A,Phosphorus,T2,H218O
26,T-2,H218O+P_B,0.8,0.43,6.993006993,0.34965035,18.2,18.2,9.2,49,NA,NA,450.8,38.6,99,3821.4,2866.05,T2.R.H218O.P.B,Phosphorus,T2,H218O
27,T-2,H218O+P_C,0.63,0.2,8.333333333,0.416666667,14.3,14.3,7.6,49,NA,NA,372.4,39.8,99,3940.2,2955.15,T2.R.H218O.P.C,Phosphorus,T2,H218O
28,T-3,H2O_A,0.03,0.18,8.474576271,0.423728814,1,1,2.96,33,NA,NA,97.7,54,99,5346,4009.5,T3.R.H2O.A,No Phosphorus,T3,H2O
29,T-3,H2O_B,0.06,0.15,8.695652174,0.434782609,0,0,3.34,33,NA,NA,110.2,32,99,3168,2376,T3.R.H2O.B,No Phosphorus,T3,H2O
30,T-3,H2O_C,0.01,0.15,8.695652174,0.434782609,15,15,5.04,49,NA,NA,247,32.2,99,3187.8,2390.85,T3.R.H2O.C,No Phosphorus,T3,H2O
31,T-3,H2O+P_A,0,0.1,9.090909091,0.454545455,21.6,11.6,4.16,49,NA,NA,203.8,28.2,99,2791.8,2093.85,T3.R.H2O.P.A,Phosphorus,T3,H2O
32,T-3,H2O+P_B,0.01,0.16,8.620689655,0.431034483,16.7,6.7,6.44,49,NA,NA,315.6,29.8,99,2950.2,2212.65,T3.R.H2O.P.B,Phosphorus,T3,H2O
33,T-3,H2O+P_C,0.11,0.12,8.928571429,0.446428571,22.1,12.4,8.24,49,NA,NA,403.8,28,99,2772,2079,T3.R.H2O.P.C,Phosphorus,T3,H2O
34,T-3,H218O_A,0.08,0.17,8.547008547,0.427350427,0,0,5.04,49,NA,NA,247,34.4,99,3405.6,2554.2,T3.R.H218O.A,No Phosphorus,T3,H218O
35,T-3,H218O_B,0.14,0.17,8.547008547,0.427350427,22.3,22.3,6.66,49,NA,NA,326.3,42.6,99,4217.4,3163.05,T3.R.H218O.B,No Phosphorus,T3,H218O
36,T-3,H218O_C,0.16,0.17,8.547008547,0.427350427,28.4,28.4,5.1,49,NA,NA,249.9,40.8,99,4039.2,3029.4,T3.R.H218O.C,No Phosphorus,T3,H218O
37,T-3,H218O+P_A,0.37,0.18,8.474576271,0.423728814,24.3,24.3,7.72,49,NA,NA,378.3,28.4,99,2811.6,2108.7,T3.R.H218O.P.A,Phosphorus,T3,H218O
38,T-3,H218O+P_B,0.03,0.17,8.547008547,0.427350427,27.1,27.1,7.68,49,NA,NA,376.3,26.6,99,2633.4,1975.05,T3.R.H218O.P.B,Phosphorus,T3,H218O
39,T-3,H218O+P_C,0.04,0.18,8.474576271,0.423728814,26.3,26.3,5.74,49,NA,NA,281.3,25,99,2475,1856.25,T3.R.H218O.P.C,Phosphorus,T3,H218O